Title,Year,Age,Platform,Occurrence,Rating type,Score
Disney Fam Jam,2020,all,Disney+,1,Rotten Tomatoes,33
LEGO Star Wars: All-Stars,2018,7+,Disney+,1,Rotten Tomatoes,33
Disney Junior Music Nursery Rhymes,2017,all,Disney+,1,Rotten Tomatoes,32
Disney Family Sundays,2019,all,Disney+,1,Rotten Tomatoes,31
Wild Chile,2018,7+,Disney+,1,Rotten Tomatoes,30
Howie Mandel's Animals Doing Things,2018,all,Disney+,1,Rotten Tomatoes,30
The Big Fib,2020,all,Disney+,1,Rotten Tomatoes,29
Vampirina: Ghoul Girls Rock!,2018,all,Disney+,1,Rotten Tomatoes,28
Breaking Bad,2008,18+,Netflix,1,IMDb,9.4
Stranger Things,2016,16+,Netflix,1,IMDb,8.7
Attack on Titan,2013,18+,Netflix,1,IMDb,9
Better Call Saul,2015,18+,Netflix,1,IMDb,8.8
Dark,2017,16+,Netflix,1,IMDb,8.8
Avatar: The Last Airbender,2005,7+,Netflix,1,IMDb,9.3
Peaky Blinders,2013,18+,Netflix,1,IMDb,8.8
The Walking Dead,2010,18+,Netflix,1,IMDb,8.2
Black Mirror,2011,18+,Netflix,1,IMDb,8.8
The Queen's Gambit,2020,18+,Netflix,1,IMDb,8.6
Mindhunter,2017,18+,Netflix,1,IMDb,8.6
Community,2009,7+,Netflix,1,IMDb,8.5
Narcos,2015,18+,Netflix,1,IMDb,8.8
Shameless,2011,18+,Netflix,1,IMDb,8.5
Money Heist,2017,18+,Netflix,1,IMDb,8.3
Marvel's Daredevil,2015,18+,Netflix,1,IMDb,8.6
Lucifer,2016,16+,Netflix,1,IMDb,8.1
Supernatural,2005,16+,Netflix,1,IMDb,8.4
The Witcher,2019,18+,Netflix,1,IMDb,8.2
Ozark,2017,18+,Netflix,1,IMDb,8.4
The Crown,2016,18+,Netflix,1,IMDb,8.6
Cobra Kai,2018,16+,Netflix,1,IMDb,8.6
The Blacklist,2013,16+,Netflix,1,IMDb,8
The Flash,2014,16+,Netflix,1,IMDb,7.6
Outlander,2014,18+,Netflix,1,IMDb,8.4
Fullmetal Alchemist: Brotherhood,2009,16+,Netflix,1,IMDb,9.1
The Good Place,2016,16+,Netflix,1,IMDb,8.2
House of Cards,2013,18+,Netflix,1,IMDb,8.7
Atypical,2017,16+,Netflix,1,IMDb,8.3
Grey's Anatomy,2005,16+,Netflix,1,IMDb,7.5
Arrested Development,2003,16+,Netflix,1,IMDb,8.7
Lupin,2021,18+,Netflix,1,IMDb,7.5
The Umbrella Academy,2019,16+,Netflix,1,IMDb,8
Orange Is the New Black,2013,18+,Netflix,1,IMDb,8
The Vampire Diaries,2009,16+,Netflix,1,IMDb,7.7
Demon Slayer: Kimetsu no Yaiba,2019,18+,Netflix,1,IMDb,8.7
The Last Dance,2020,16+,Netflix,1,IMDb,9.1
American Horror Story,2011,18+,Netflix,1,IMDb,8
Elite,2018,18+,Netflix,1,IMDb,7.5
BoJack Horseman,2014,18+,Netflix,1,IMDb,8.7
Broadchurch,2013,18+,Netflix,1,IMDb,8.4
The IT Crowd,2006,16+,Netflix,1,IMDb,8.5
When They See Us,2019,18+,Netflix,1,IMDb,8.9
"Love, Death & Robots",2019,18+,Netflix,1,IMDb,8.5
Schitt's Creek,2015,16+,Netflix,1,IMDb,8.5
Marvel's Agents of S.H.I.E.L.D.,2013,16+,Netflix,1,IMDb,7.5
Never Have I Ever,2020,16+,Netflix,1,IMDb,7.9
The 100,2014,16+,Netflix,1,IMDb,7.6
American Crime Story,2016,18+,Netflix,1,IMDb,8.4
The Last Kingdom,2015,18+,Netflix,1,IMDb,8.4
The End of the F***ing World,2017,18+,Netflix,1,IMDb,8.1
New Girl,2011,16+,Netflix,1,IMDb,7.7
Penny Dreadful,2014,18+,Netflix,1,IMDb,8.2
Marvel's The Punisher,2017,18+,Netflix,1,IMDb,8.5
Evil,2019,18+,Netflix,1,IMDb,7.7
YOU,2018,18+,Netflix,1,IMDb,7.7
Sense8,2015,18+,Netflix,1,IMDb,8.3
Making a Murderer,2015,16+,Netflix,1,IMDb,8.6
Unbelievable,2019,18+,Netflix,1,IMDb,8.4
Arrow,2012,16+,Netflix,1,IMDb,7.5
Sex Education,2019,18+,Netflix,1,IMDb,8.3
Marvel's Jessica Jones,2015,18+,Netflix,1,IMDb,7.9
Sweet Tooth,2021,16+,Netflix,1,IMDb,7.9
Good Girls,2018,16+,Netflix,1,IMDb,7.8
Death Note,2006,16+,Netflix,1,IMDb,9
Gilmore Girls,2000,16+,Netflix,1,IMDb,8.1
The Legend of Korra,2012,7+,Netflix,1,IMDb,8.4
How to Get Away with Murder,2014,16+,Netflix,1,IMDb,8.1
Master of None,2015,18+,Netflix,1,IMDb,8.3
Chappelle's Show,2003,18+,Netflix,1,IMDb,8.7
One-Punch Man,2015,7+,Netflix,1,IMDb,8.8
Downton Abbey,2010,16+,Netflix,1,IMDb,8.7
Gotham,2014,16+,Netflix,1,IMDb,7.8
Pose,2018,18+,Netflix,1,IMDb,8.6
Bodyguard,2018,18+,Netflix,1,IMDb,8.1
Altered Carbon,2018,18+,Netflix,1,IMDb,8
Ash vs Evil Dead,2015,18+,Netflix,1,IMDb,8.4
The Sinner,2017,16+,Netflix,1,IMDb,7.9
Our Planet,2019,all,Netflix,1,IMDb,9.3
Narcos: Mexico,2018,18+,Netflix,1,IMDb,8.4
Shadow and Bone,2021,16+,Netflix,1,IMDb,7.7
Castlevania,2017,18+,Netflix,1,IMDb,8.3
The Kominsky Method,2018,18+,Netflix,1,IMDb,8.2
Hunter x Hunter,2011,16+,Netflix,1,IMDb,9
Dead to Me,2019,18+,Netflix,1,IMDb,8
The Haunting of Hill House,2018,18+,Netflix,1,IMDb,8.6
Russian Doll,2019,18+,Netflix,1,IMDb,7.9
Kingdom,2019,18+,Netflix,1,IMDb,8.4
Naruto,2002,7+,Netflix,1,IMDb,8.3
NCIS,2003,16+,Netflix,1,IMDb,7.7
Manifest,2018,16+,Netflix,1,IMDb,7.2
Halt and Catch Fire,2014,16+,Netflix,1,IMDb,8.4
After Life,2019,18+,Netflix,1,IMDb,8.4
Riverdale,2017,16+,Netflix,1,IMDb,6.8
Big Mouth,2017,18+,Netflix,1,IMDb,7.9
I Think You Should Leave with Tim Robinson,2019,18+,Netflix,1,IMDb,7.8
Derry Girls,2018,16+,Netflix,1,IMDb,8.4
The Promised Neverland,2019,18+,Netflix,1,IMDb,8.5
Lost in Space,2018,7+,Netflix,1,IMDb,7.3
Jane the Virgin,2014,16+,Netflix,1,IMDb,7.8
Godless,2017,18+,Netflix,1,IMDb,8.3
The OA,2016,18+,Netflix,1,IMDb,7.8
DC's Legends of Tomorrow,2016,16+,Netflix,1,IMDb,6.8
Sacred Games,2018,18+,Netflix,1,IMDb,8.6
iZombie,2015,16+,Netflix,1,IMDb,7.8
Longmire,2012,16+,Netflix,1,IMDb,8.3
Happy Endings,2011,16+,Netflix,1,IMDb,7.7
Into the Badlands,2015,16+,Netflix,1,IMDb,8
The Originals,2013,16+,Netflix,1,IMDb,8.2
Anne with an E,2017,all,Netflix,1,IMDb,8.7
Grace and Frankie,2015,18+,Netflix,1,IMDb,8.3
Chilling Adventures of Sabrina,2018,16+,Netflix,1,IMDb,7.5
Queen of the South,2016,16+,Netflix,1,IMDb,8
A Series of Unfortunate Events,2017,7+,Netflix,1,IMDb,7.8
Unorthodox,2020,18+,Netflix,1,IMDb,8
Outer Banks,2020,18+,Netflix,1,IMDb,7.6
13 Reasons Why,2017,18+,Netflix,1,IMDb,7.6
Unbreakable Kimmy Schmidt,2015,16+,Netflix,1,IMDb,7.6
Marvel's Luke Cage,2016,18+,Netflix,1,IMDb,7.3
GLOW,2017,18+,Netflix,1,IMDb,8
Borgen,2010,18+,Netflix,1,IMDb,8.5
The 4400,2004,7+,Netflix,1,IMDb,7.3
Alias Grace,2017,18+,Netflix,1,IMDb,7.7
All American,2018,16+,Netflix,1,IMDb,7.7
Santa Clarita Diet,2017,18+,Netflix,1,IMDb,7.8
Reign,2013,16+,Netflix,1,IMDb,7.5
Maniac,2018,18+,Netflix,1,IMDb,7.8
Dark Matter,2015,18+,Netflix,1,IMDb,7.5
"Tiger King: Murder, Mayhem and Madness",2020,18+,Netflix,1,IMDb,7.6
Call the Midwife,2012,16+,Netflix,1,IMDb,8.4
Queer Eye,2018,16+,Netflix,1,IMDb,8.5
American Vandal,2017,16+,Netflix,1,IMDb,8.2
Wynonna Earp,2016,16+,Netflix,1,IMDb,7.5
Marvel's The Defenders,2017,18+,Netflix,1,IMDb,7.3
HAPPY!,2017,18+,Netflix,1,IMDb,8.2
Haikyu!!,2014,16+,Netflix,1,IMDb,8.7
Colony,2016,16+,Netflix,1,IMDb,7.4
Heartland,2007,7+,Netflix,1,IMDb,8.4
Alone,2015,16+,Netflix,1,IMDb,8.4
Marco Polo,2014,18+,Netflix,1,IMDb,8
Wild Wild Country,2018,16+,Netflix,1,IMDb,8.1
The Dragon Prince,2018,7+,Netflix,1,IMDb,8.4
Locke & Key,2020,16+,Netflix,1,IMDb,7.4
Love,2016,18+,Netflix,1,IMDb,7.7
One Day at a Time,2017,7+,Netflix,1,IMDb,8.2
Feel Good,2020,18+,Netflix,1,IMDb,7.5
Fauda,2015,16+,Netflix,1,IMDb,8.2
The Dark Crystal: Age of Resistance,2019,7+,Netflix,1,IMDb,8.4
Top Boy,2011,18+,Netflix,1,IMDb,8.4
I Am Not Okay with This,2020,18+,Netflix,1,IMDb,7.5
Supergirl,2015,16+,Netflix,1,IMDb,6.2
The Shannara Chronicles,2016,16+,Netflix,1,IMDb,7.2
Designated Survivor,2016,7+,Netflix,1,IMDb,7.5
Travelers,2016,16+,Netflix,1,IMDb,8.1
StartUp,2016,18+,Netflix,1,IMDb,7.9
Ripper Street,2012,18+,Netflix,1,IMDb,8.1
Episodes,2011,18+,Netflix,1,IMDb,7.8
Crazy Ex-Girlfriend,2015,16+,Netflix,1,IMDb,7.8
Bloodline,2015,18+,Netflix,1,IMDb,7.9
Black Summer,2019,18+,Netflix,1,IMDb,6.5
The Borgias,2011,18+,Netflix,1,IMDb,7.9
Glee,2009,16+,Netflix,1,IMDb,6.7
The Stranger,2020,18+,Netflix,1,IMDb,7.3
Virgin River,2019,16+,Netflix,1,IMDb,7.4
Lilyhammer,2012,18+,Netflix,1,IMDb,8
Dirty John,2018,18+,Netflix,1,IMDb,7.2
TURN: Washington's Spies,2014,16+,Netflix,1,IMDb,8.1
Star Trek: Enterprise,2001,7+,Netflix,1,IMDb,7.5
She-Ra and the Princesses of Power,2018,all,Netflix,1,IMDb,7.9
Merlin,2008,7+,Netflix,1,IMDb,7.9
The Magicians,2015,16+,Netflix,1,IMDb,7.6
Ginny & Georgia,2021,16+,Netflix,1,IMDb,7.5
The Spy,2019,18+,Netflix,1,IMDb,7.9
On My Block,2018,16+,Netflix,1,IMDb,8
The Movies That Made Us,2019,18+,Netflix,1,IMDb,7.8
Chef's Table,2015,all,Netflix,1,IMDb,8.5
Biohackers,2020,18+,Netflix,1,IMDb,6.8
The Seven Deadly Sins,2014,16+,Netflix,1,IMDb,8
The Keepers,2017,16+,Netflix,1,IMDb,8.1
F is for Family,2015,18+,Netflix,1,IMDb,8
The Midnight Gospel,2020,18+,Netflix,1,IMDb,8.2
Ragnarok,2020,18+,Netflix,1,IMDb,7.5
Legacies,2018,16+,Netflix,1,IMDb,7.4
The Order,2019,18+,Netflix,1,IMDb,6.8
Disenchantment,2018,16+,Netflix,1,IMDb,7.2
Dead Set,2008,18+,Netflix,1,IMDb,7.6
Dirty Money,2018,16+,Netflix,1,IMDb,8.1
The Staircase,2005,16+,Netflix,1,IMDb,7.9
Soul Eater,2008,16+,Netflix,1,IMDb,7.8
Into the Night,2020,18+,Netflix,1,IMDb,7.1
Julie and the Phantoms,2020,7+,Netflix,1,IMDb,8.5
Leyla ile Mecnun,2011,7+,Netflix,1,IMDb,9.1
Living with Yourself,2019,18+,Netflix,1,IMDb,7.2
Hilda,2018,7+,Netflix,1,IMDb,8.6
The Mechanism,2018,18+,Netflix,1,IMDb,8.4
ERASED,2016,16+,Netflix,1,IMDb,8.5
Formula 1: Drive to Survive,2019,16+,Netflix,1,IMDb,8.6
Don't F**k with Cats: Hunting an Internet Killer,2019,18+,Netflix,1,IMDb,8
Kim's Convenience,2016,16+,Netflix,1,IMDb,8.2
The Society,2019,18+,Netflix,1,IMDb,7.1
Imposters,2017,16+,Netflix,1,IMDb,7.8
Frequency,2016,7+,Netflix,1,IMDb,7.5
Wentworth,2013,18+,Netflix,1,IMDb,8.6
Marvel's Iron Fist,2017,18+,Netflix,1,IMDb,6.5
Bleach,2004,18+,Netflix,1,IMDb,8.1
Quantico,2015,16+,Netflix,1,IMDb,6.7
Shooter,2016,16+,Netflix,1,IMDb,7.5
Hollywood,2020,18+,Netflix,1,IMDb,7.5
Madam Secretary,2014,16+,Netflix,1,IMDb,7.6
Last Tango in Halifax,2012,16+,Netflix,1,IMDb,8.3
Safe,2018,18+,Netflix,1,IMDb,7.3
Resurrection: Ertugrul,2014,16+,Netflix,1,IMDb,8
Versailles,2015,18+,Netflix,1,IMDb,7.9
Sex/Life,2021,18+,Netflix,1,IMDb,5.4
Fullmetal Alchemist,2003,16+,Netflix,1,IMDb,8.5
Marianne,2019,18+,Netflix,1,IMDb,7.5
Five Came Back,2017,16+,Netflix,1,IMDb,8.3
Miraculous: Tales of Ladybug & Cat Noir,2015,7+,Netflix,1,IMDb,7.7
Abstract: The Art of Design,2017,16+,Netflix,1,IMDb,8.4
Teenage Bounty Hunters,2020,18+,Netflix,1,IMDb,7.7
Documentary Now!,2015,18+,Netflix,1,IMDb,8.1
Special,2019,18+,Netflix,1,IMDb,7.6
JoJo's Bizarre Adventure,2012,18+,Netflix,1,IMDb,8.4
Manhunt,2017,16+,Netflix,1,IMDb,8.1
Your Lie in April,2014,7+,Netflix,1,IMDb,8.6
Code Geass: Lelouch of the Rebellion,2006,18+,Netflix,1,IMDb,8.7
Middleditch & Schwartz,2020,18+,Netflix,1,IMDb,8.6
Zoo,2015,16+,Netflix,1,IMDb,6.7
Jupiters Legacy,2021,18+,Netflix,1,IMDb,6.7
Ratched,2020,18+,Netflix,1,IMDb,7.3
Babylon Berlin,2017,18+,Netflix,1,IMDb,8.4
Everything Sucks!,2018,16+,Netflix,1,IMDb,7.5
Evil Genius,2018,18+,Netflix,1,IMDb,7.5
Doctor Foster,2015,16+,Netflix,1,IMDb,7.7
Marcella,2016,18+,Netflix,1,IMDb,7.4
Survivor,2000,7+,Netflix,1,IMDb,7.2
Derek,2013,7+,Netflix,1,IMDb,8
3%,2016,18+,Netflix,1,IMDb,7.4
Tuca & Bertie,2019,18+,Netflix,1,IMDb,7.4
Parasyte -the maxim-,2014,18+,Netflix,1,IMDb,8.3
Last Chance U,2016,16+,Netflix,1,IMDb,8.4
Trailer Park Boys,2001,18+,Netflix,1,IMDb,8.5
Black Lightning,2018,16+,Netflix,1,IMDb,6.1
Chicago Med,2015,16+,Netflix,1,IMDb,7.6
How to Sell Drugs Online (Fast),2019,18+,Netflix,1,IMDb,7.9
Secret City,2016,18+,Netflix,1,IMDb,7.4
Dynasty,2017,16+,Netflix,1,IMDb,7.3
Dracula,2020,18+,Netflix,1,IMDb,6.8
Space Force,2020,18+,Netflix,1,IMDb,6.7
Pretend It's a City,2021,16+,Netflix,1,IMDb,8.1
Masters of the Universe: Revelation,2021,7+,Netflix,1,IMDb,4.9
iCarly,2007,all,Netflix,1,IMDb,6.7
Who Killed Sara?,2021,18+,Netflix,1,IMDb,6.4
Sword Art Online,2012,18+,Netflix,1,IMDb,7.6
Paranormal,2020,7+,Netflix,1,IMDb,8.5
Frontier,2016,18+,Netflix,1,IMDb,7.2
The Politician,2019,16+,Netflix,1,IMDb,7.5
Raising Dion,2019,7+,Netflix,1,IMDb,7.2
Food Wars! Shokugeki no Soma,2015,18+,Netflix,1,IMDb,8.2
Crash Landing on You,2019,16+,Netflix,1,IMDb,8.7
Seven Seconds,2018,18+,Netflix,1,IMDb,7.7
The Great British Bake Off,2010,7+,Netflix,1,IMDb,8.5
Wizards: Tales of Arcadia,2020,7+,Netflix,1,IMDb,8.2
Conversations with a Killer: The Ted Bundy Tapes,2019,18+,Netflix,1,IMDb,7.8
Fate: The Winx Saga,2021,18+,Netflix,1,IMDb,6.9
The Circle,2020,18+,Netflix,1,IMDb,7.3
Cheer,2020,16+,Netflix,1,IMDb,8.1
Hemlock Grove,2013,18+,Netflix,1,IMDb,7.1
Transformers: War for Cybertron: Siege,2020,16+,Netflix,1,IMDb,7.4
Explained,2018,16+,Netflix,1,IMDb,8
Messiah,2020,18+,Netflix,1,IMDb,7.6
Sky Rojo,2021,18+,Netflix,1,IMDb,6.5
Bonding,2019,18+,Netflix,1,IMDb,7.2
I'm Sorry,2017,7+,Netflix,1,IMDb,8
Katla,2021,18+,Netflix,1,IMDb,7.1
It's Okay to Not Be Okay,2020,16+,Netflix,1,IMDb,8.8
Workin' Moms,2017,18+,Netflix,1,IMDb,7.6
The Toys That Made Us,2017,16+,Netflix,1,IMDb,8.1
The Devil Next Door,2019,18+,Netflix,1,IMDb,7.6
Kipo and the Age of Wonderbeasts,2020,7+,Netflix,1,IMDb,8.4
"Roswell, New Mexico",2019,16+,Netflix,1,IMDb,6.2
Night Stalker: The Hunt For a Serial Killer,2021,18+,Netflix,1,IMDb,7.5
Glitch,2015,16+,Netflix,1,IMDb,7.3
Great Pretender,2020,18+,Netflix,1,IMDb,8
InuYasha,2000,16+,Netflix,1,IMDb,7.9
In the Dark,2019,16+,Netflix,1,IMDb,7.5
GHOUL,2018,18+,Netflix,1,IMDb,7.1
Nailed It!,2018,7+,Netflix,1,IMDb,7.4
Voltron: Legendary Defender,2016,7+,Netflix,1,IMDb,8.1
Trollhunters: Tales of Arcadia,2016,7+,Netflix,1,IMDb,8.4
Sweet Magnolias,2020,16+,Netflix,1,IMDb,7.4
Medici: Masters of Florence,2016,7+,Netflix,1,IMDb,7.9
Aggretsuko,2018,16+,Netflix,1,IMDb,8.1
Jurassic World: Camp Cretaceous,2020,7+,Netflix,1,IMDb,7.5
Rake,2010,16+,Netflix,1,IMDb,8.5
The Gift,2019,18+,Netflix,1,IMDb,7.2
Violet Evergarden,2018,16+,Netflix,1,IMDb,8.5
3Below: Tales of Arcadia,2018,7+,Netflix,1,IMDb,7.7
Jeffrey Epstein: Filthy Rich,2020,18+,Netflix,1,IMDb,7.1
Private Practice,2007,16+,Netflix,1,IMDb,6.7
Beauty and the Beast,2012,7+,Netflix,1,IMDb,7
Daybreak,2019,18+,Netflix,1,IMDb,6.7
Easy,2016,18+,Netflix,1,IMDb,6.9
Behind Her Eyes,2021,18+,Netflix,1,IMDb,7.2
Collateral,2018,18+,Netflix,1,IMDb,6.8
Knightfall,2017,16+,Netflix,1,IMDb,6.8
The Confession Killer,2019,16+,Netflix,1,IMDb,7.4
Sophie: A Murder In West Cork,2021,18+,Netflix,1,IMDb,6.9
Call My Agent!,2015,16+,Netflix,1,IMDb,8.3
My Little Pony: Friendship Is Magic,2010,7+,Netflix,1,IMDb,7.6
Leah Remini: Scientology and the Aftermath,2016,16+,Netflix,1,IMDb,9
Containment,2016,16+,Netflix,1,IMDb,7.2
Z Nation,2014,16+,Netflix,1,IMDb,6.7
Emily in Paris,2020,18+,Netflix,1,IMDb,7
Victorious,2010,7+,Netflix,1,IMDb,6.9
Scream: The TV Series,2015,16+,Netflix,1,IMDb,7.1
Akame ga Kill!,2014,18+,Netflix,1,IMDb,7.8
Warrior Nun,2020,18+,Netflix,1,IMDb,6.9
Bad Blood,2017,18+,Netflix,1,IMDb,7.5
Young & Hungry,2014,16+,Netflix,1,IMDb,7.4
Caliphate,2020,18+,Netflix,1,IMDb,8.2
Good Witch,2015,7+,Netflix,1,IMDb,7.3
Gilmore Girls: A Year in the Life,2016,16+,Netflix,1,IMDb,7.6
Aquarius,2015,16+,Netflix,1,IMDb,7.1
Firefly Lane,2021,18+,Netflix,1,IMDb,7.4
White Gold,2017,18+,Netflix,1,IMDb,7.4
Hyperdrive,2019,7+,Netflix,1,IMDb,8.1
Ninjago: Masters of Spinjitzu,2012,all,Netflix,1,IMDb,7.2
BEASTARS,2019,18+,Netflix,1,IMDb,7.8
Kill la Kill,2013,18+,Netflix,1,IMDb,7.9
Down to Earth with Zac Efron,2020,7+,Netflix,1,IMDb,8.1
Ancient Aliens,2010,7+,Netflix,1,IMDb,7.2
Slasher,2016,18+,Netflix,1,IMDb,6.7
Time: The Kalief Browder Story,2017,16+,Netflix,1,IMDb,8.5
Away,2020,16+,Netflix,1,IMDb,6.6
No Tomorrow,2016,7+,Netflix,1,IMDb,7.3
Locked Up,2015,18+,Netflix,1,IMDb,8.2
The Frankenstein Chronicles,2015,16+,Netflix,1,IMDb,7.3
The Ranch,2016,16+,Netflix,1,IMDb,7.5
Cursed,2020,18+,Netflix,1,IMDb,5.9
Wu Assassins,2019,18+,Netflix,1,IMDb,6.5
Mr. Sunshine,2018,18+,Netflix,1,IMDb,8.8
The Unicorn,2019,7+,Netflix,1,IMDb,7.2
Anohana: The Flower We Saw That Day,2011,16+,Netflix,1,IMDb,8.2
Gypsy,2017,18+,Netflix,1,IMDb,6.8
Fuller House,2016,7+,Netflix,1,IMDb,6.7
Killer Inside: The Mind of Aaron Hernandez,2020,18+,Netflix,1,IMDb,7.4
RESIDENT EVIL: Infinite Darkness,2021,18+,Netflix,1,IMDb,5.8
1983,2018,18+,Netflix,1,IMDb,6.8
Wet Hot American Summer: First Day of Camp,2015,16+,Netflix,1,IMDb,7.4
The Baker and the Beauty,2020,16+,Netflix,1,IMDb,7.4
Spinning Out,2020,18+,Netflix,1,IMDb,7.6
Trinkets,2019,18+,Netflix,1,IMDb,7.1
Insatiable,2018,18+,Netflix,1,IMDb,6.5
The Chalet,2018,18+,Netflix,1,IMDb,7
We Bare Bears,2015,7+,Netflix,1,IMDb,7.9
Gurren Lagann,2007,16+,Netflix,1,IMDb,8.3
Friends from College,2017,18+,Netflix,1,IMDb,6.9
Jericho,2006,16+,Netflix,1,IMDb,7.3
Tidelands,2018,18+,Netflix,1,IMDb,7
Dear White People,2017,18+,Netflix,1,IMDb,6.2
Dare Me,2019,18+,Netflix,1,IMDb,6.7
Ouran High School Host Club,2006,16+,Netflix,1,IMDb,8.2
Scooby-Doo! Mystery Incorporated,2010,7+,Netflix,1,IMDb,8
The Untamed,2019,16+,Netflix,1,IMDb,9
Stranger,2017,18+,Netflix,1,IMDb,8.6
El Chapo,2017,18+,Netflix,1,IMDb,7.8
Great News,2017,7+,Netflix,1,IMDb,7
The Get Down,2016,16+,Netflix,1,IMDb,8.3
The Naked Director,2019,18+,Netflix,1,IMDb,7.7
Rise of Empires: Ottoman,2020,18+,Netflix,1,IMDb,7.9
Club de Cuervos,2015,18+,Netflix,1,IMDb,8.2
Toradora!,2008,16+,Netflix,1,IMDb,8
The Baby-Sitters Club,2020,7+,Netflix,1,IMDb,7.4
Carole & Tuesday,2019,7+,Netflix,1,IMDb,7.9
Van Helsing,2016,16+,Netflix,1,IMDb,6.2
The Night Shift,2014,16+,Netflix,1,IMDb,7.4
"Pablo Escobar, The Drug Lord",2012,18+,Netflix,1,IMDb,8.5
No Game No Life,2014,16+,Netflix,1,IMDb,7.8
The King: Eternal Monarch,2020,16+,Netflix,1,IMDb,8.3
Eden,2021,7+,Netflix,1,IMDb,6.7
Stateless,2020,16+,Netflix,1,IMDb,7.6
High Score,2020,16+,Netflix,1,IMDb,7.4
Dash & Lily,2020,7+,Netflix,1,IMDb,8
The Confession Tapes,2017,16+,Netflix,1,IMDb,7.5
Black Butler,2008,18+,Netflix,1,IMDb,7.8
The Rain,2018,18+,Netflix,1,IMDb,6.3
Love Is Blind,2020,18+,Netflix,1,IMDb,6.1
Trial by Media,2020,16+,Netflix,1,IMDb,7.2
Wormwood,2017,16+,Netflix,1,IMDb,7
Fear City: New York vs The Mafia,2020,18+,Netflix,1,IMDb,7.1
Sorjonen,2016,18+,Netflix,1,IMDb,7.6
Forged in Fire,2015,7+,Netflix,1,IMDb,8.4
Baby,2018,18+,Netflix,1,IMDb,6.8
The Disastrous Life of Saiki K.,2016,16+,Netflix,1,IMDb,8.3
The Innocence Files,2020,18+,Netflix,1,IMDb,8
BNA,2020,16+,Netflix,1,IMDb,7.2
The Mist,2017,16+,Netflix,1,IMDb,5.4
Halston,2021,18+,Netflix,1,IMDb,7.5
Shaun the Sheep,2007,all,Netflix,1,IMDb,8.2
The Universe,2007,16+,Netflix,1,IMDb,8.7
Self Made: Inspired by the Life of Madam C.J. Walker,2020,18+,Netflix,1,IMDb,7.3
Shtisel,2013,16+,Netflix,1,IMDb,8.6
The Boss Baby: Back in Business,2018,7+,Netflix,1,IMDb,6.5
Puella Magi Madoka Magica,2011,16+,Netflix,1,IMDb,8.3
Sinatra: All or Nothing at All,2015,7+,Netflix,1,IMDb,8
Comedians in Cars Getting Coffee,2012,16+,Netflix,1,IMDb,8.1
Senora Acero,2014,16+,Netflix,1,IMDb,7.1
Dark Tourist,2018,18+,Netflix,1,IMDb,7.5
Criminal: UK,2019,18+,Netflix,1,IMDb,7.6
The Bureau of Magical Things,2018,7+,Netflix,1,IMDb,6.7
Cleverman,2016,16+,Netflix,1,IMDb,6.4
The Innocent Man,2018,18+,Netflix,1,IMDb,7.3
Norsemen,2016,18+,Netflix,1,IMDb,7.8
Pawn Stars,2009,7+,Netflix,1,IMDb,7.2
Inside Bill's Brain: Decoding Bill Gates,2019,16+,Netflix,1,IMDb,7.9
Damnation,2017,18+,Netflix,1,IMDb,7.7
From Dusk Till Dawn: The Series,2014,18+,Netflix,1,IMDb,6.9
Lovesick,2014,18+,Netflix,1,IMDb,8.1
Flint Town,2018,18+,Netflix,1,IMDb,7.9
Watership Down,2018,7+,Netflix,1,IMDb,7.2
Undercover,2019,18+,Netflix,1,IMDb,7.8
Rita,2012,16+,Netflix,1,IMDb,8.1
Dorohedoro,2020,18+,Netflix,1,IMDb,8.2
Maid Sama!,2010,16+,Netflix,1,IMDb,8
Mystery Science Theater 3000: The Return,2017,16+,Netflix,1,IMDb,8
Is It Wrong to Try to Pick Up Girls in a Dungeon?,2015,16+,Netflix,1,IMDb,7.4
Surviving R. Kelly,2019,18+,Netflix,1,IMDb,7.5
Flaked,2016,18+,Netflix,1,IMDb,7.2
Fate/Zero,2011,18+,Netflix,1,IMDb,8.3
Crazyhead,2016,16+,Netflix,1,IMDb,7.3
The Five,2016,7+,Netflix,1,IMDb,7.6
H2O: Just Add Water,2006,all,Netflix,1,IMDb,7.2
Requiem,2018,18+,Netflix,1,IMDb,6.5
The Valhalla Murders,2019,18+,Netflix,1,IMDb,7.1
Black Earth Rising,2018,16+,Netflix,1,IMDb,7.5
W/ Bob & David,2015,18+,Netflix,1,IMDb,7.4
The Trials of Gabriel Fernandez,2020,18+,Netflix,1,IMDb,8.1
She's Gotta Have It,2017,18+,Netflix,1,IMDb,6.8
Save Me,2018,16+,Netflix,1,IMDb,7.7
The Curse of Oak Island,2014,7+,Netflix,1,IMDb,7
Black,2017,16+,Netflix,1,IMDb,8
Ajin,2016,18+,Netflix,1,IMDb,7.6
Ink Master,2012,16+,Netflix,1,IMDb,7.4
Vampire Knight,2008,16+,Netflix,1,IMDb,7.4
Angel Beats!,2010,16+,Netflix,1,IMDb,7.7
Green Eggs and Ham,2019,7+,Netflix,1,IMDb,8.2
The Hollow,2018,7+,Netflix,1,IMDb,7.2
Dogs,2018,all,Netflix,1,IMDb,8.1
November 13: Attack on Paris,2018,18+,Netflix,1,IMDb,8.3
It's Bruno!,2019,7+,Netflix,1,IMDb,7.5
Wanted,2016,16+,Netflix,1,IMDb,7.7
